lat,lon,date,spd10,spd100,dir10,dir100
41.5,8.5,2024-09-09 00:00:00+00:00,25.620771408081055,26.88214111328125,289.70806884765625,290.37652587890625
41.5,8.7,2024-09-09 00:00:00+00:00,24.033876419067383,25.9649600982666,286.534912109375,286.9275817871094
41.5,8.9,2024-09-09 00:00:00+00:00,17.418195724487305,26.20839500427246,288.060546875,290.924560546875
41.5,9.1,2024-09-09 00:00:00+00:00,17.418195724487305,26.20839500427246,288.060546875,290.924560546875
41.5,9.3,2024-09-09 00:00:00+00:00,18.003599166870117,28.55142593383789,268.854248046875,275.06353759765625
41.5,9.5,2024-09-09 00:00:00+00:00,38.2515869140625,44.30925750732422,251.906005859375,253.47903442382812
41.7,8.5,2024-09-09 00:00:00+00:00,26.661880493164062,28.257131576538086,304.5484313964844,304.09503173828125
41.7,8.7,2024-09-09 00:00:00+00:00,7.091177463531494,10.829957962036133,293.9624938964844,291.44781494140625
41.7,8.9,2024-09-09 00:00:00+00:00,7.091177463531494,10.829957962036133,293.9624938964844,291.44781494140625
41.7,9.1,2024-09-09 00:00:00+00:00,10.966712951660156,19.665359497070312,293.1986083984375,293.74951171875
41.7,9.3,2024-09-09 00:00:00+00:00,12.429126739501953,21.322214126586914,280.0079040527344,281.6893310546875
41.7,9.5,2024-09-09 00:00:00+00:00,10.464797019958496,17.25373077392578,229.1850128173828,246.6444091796875
41.9,8.5,2024-09-09 00:00:00+00:00,15.778517723083496,23.358423233032227,297.14959716796875,298.5398864746094
41.9,8.7,2024-09-09 00:00:00+00:00,15.778517723083496,23.358423233032227,297.14959716796875,298.5398864746094
41.9,8.9,2024-09-09 00:00:00+00:00,3.545588731765747,6.4096174240112305,113.96249389648438,128.1572723388672
41.9,9.1,2024-09-09 00:00:00+00:00,3.7064266204833984,10.58791732788086,240.9454803466797,252.18101501464844
41.9,9.3,2024-09-09 00:00:00+00:00,3.7064266204833984,10.58791732788086,240.9454803466797,252.18101501464844
41.9,9.5,2024-09-09 00:00:00+00:00,8.766572952270508,10.086426734924316,160.82089233398438,145.17544555664062
42.1,8.5,2024-09-09 00:00:00+00:00,21.252199172973633,22.702844619750977,296.1309509277344,297.37762451171875
42.1,8.7,2024-09-09 00:00:00+00:00,1.4843180179595947,4.0249223709106445,194.03627014160156,190.30479431152344
42.1,8.9,2024-09-09 00:00:00+00:00,1.4843180179595947,4.0249223709106445,194.03627014160156,190.30479431152344
42.1,9.1,2024-09-09 00:00:00+00:00,4.379589080810547,8.121970176696777,170.53775024414062,167.19573974609375
42.1,9.3,2024-09-09 00:00:00+00:00,2.811689853668213,6.877789497375488,219.80552673339844,222.87889099121094
42.1,9.5,2024-09-09 00:00:00+00:00,3.9600000381469727,9.346142768859863,180.0,164.35769653320312
42.3,8.5,2024-09-09 00:00:00+00:00,5.116561412811279,7.594208240509033,230.7106170654297,238.5704803466797
42.3,8.7,2024-09-09 00:00:00+00:00,5.116561412811279,7.594208240509033,230.7106170654297,238.5704803466797
42.3,8.9,2024-09-09 00:00:00+00:00,8.66994857788086,17.57744026184082,221.63345336914062,235.00790405273438
42.3,9.1,2024-09-09 00:00:00+00:00,4.0249223709106445,10.99032211303711,243.4350128173828,238.39254760742188
42.3,9.3,2024-09-09 00:00:00+00:00,3.2599384784698486,7.386581897735596,263.659912109375,226.9749298095703
42.3,9.5,2024-09-09 00:00:00+00:00,5.86037540435791,9.726664543151855,169.38040161132812,182.1210479736328
42.5,8.5,2024-09-09 00:00:00+00:00,29.888671875,32.32992172241211,260.9915771484375,262.3211364746094
42.5,8.7,2024-09-09 00:00:00+00:00,16.039201736450195,25.96994972229004,224.09071350097656,226.1232147216797
42.5,8.9,2024-09-09 00:00:00+00:00,9.255571365356445,17.581125259399414,283.4957580566406,259.3804016113281
42.5,9.1,2024-09-09 00:00:00+00:00,9.255571365356445,17.581125259399414,283.4957580566406,259.3804016113281
42.5,9.3,2024-09-09 00:00:00+00:00,3.3190360069274902,4.680000305175781,257.47119140625,292.6199035644531
42.5,9.5,2024-09-09 00:00:00+00:00,1.2979984283447266,1.1384198665618896,33.690101623535156,71.5649642944336
42.7,8.5,2024-09-09 00:00:00+00:00,31.763750076293945,35.864742279052734,252.18101501464844,252.47433471679688
42.7,8.7,2024-09-09 00:00:00+00:00,33.58821105957031,36.20461654663086,250.59393310546875,250.8442840576172
42.7,8.9,2024-09-09 00:00:00+00:00,38.19734191894531,43.20600128173828,246.0923309326172,246.42527770996094
42.7,9.1,2024-09-09 00:00:00+00:00,29.070974349975586,42.97139358520508,262.1710205078125,261.326904296875
42.7,9.3,2024-09-09 00:00:00+00:00,29.070974349975586,42.97139358520508,262.1710205078125,261.326904296875
42.7,9.5,2024-09-09 00:00:00+00:00,13.527571678161621,24.363250732421875,295.2010803222656,288.9704895019531
42.9,8.5,2024-09-09 00:00:00+00:00,35.97298812866211,41.316959381103516,247.02725219726562,247.45689392089844
42.9,8.7,2024-09-09 00:00:00+00:00,36.91887283325195,42.259769439697266,246.43458557128906,246.9295654296875
42.9,8.9,2024-09-09 00:00:00+00:00,36.91009521484375,43.0617790222168,249.44387817382812,249.44386291503906
42.9,9.1,2024-09-09 00:00:00+00:00,37.80171203613281,41.67612075805664,250.52960205078125,250.3127899169922
42.9,9.3,2024-09-09 00:00:00+00:00,34.04808044433594,42.23676300048828,250.2238311767578,251.10165405273438
42.9,9.5,2024-09-09 00:00:00+00:00,33.54187774658203,42.366966247558594,257.6046142578125,257.7352294921875
